salary,work_accident,satisfaction_level,time_spend_company,average_montly_hours,left
medium,0,0.55,2,152,0
medium,0,0.5,6,178,0
low,0,0.44,3,148,1
low,0,0.16,3,170,0
medium,1,0.79,4,160,0
medium,0,0.94,3,142,0
medium,0,0.88,3,230,0
low,1,0.16,3,196,0
low,0,0.83,2,273,0
medium,1,0.68,3,250,0
low,0,0.53,3,163,0
low,0,0.87,2,197,0
medium,0,0.75,2,227,0
medium,0,0.16,5,284,0
medium,0,0.34,6,266,0
medium,0,0.76,4,255,0
low,0,0.52,3,283,0
high,0,0.84,4,156,0
medium,1,0.23,6,154,0
low,0,0.6,2,189,0
low,0,0.93,2,262,0
high,1,0.5,2,257,0
low,0,0.56,2,192,0
medium,0,0.9,4,172,0
medium,0,0.88,4,264,0
medium,0,0.75,3,136,0
low,0,0.69,2,272,0
medium,0,0.46,5,119,0
medium,0,0.66,2,156,1
high,0,0.28,3,102,0
low,0,0.6,2,183,0
low,0,0.1,4,307,1
medium,1,0.89,5,248,0
medium,0,0.6,4,205,0
medium,0,0.99,3,154,0
low,0,0.66,5,255,0
low,1,0.42,3,132,1
medium,0,0.84,5,240,1
low,1,0.65,2,182,0
medium,0,0.84,2,234,0
medium,1,0.76,2,204,0
low,0,0.52,4,103,0
low,0,0.93,3,276,0
medium,0,0.82,3,252,0
medium,0,0.74,2,135,0
low,0,0.51,3,242,0
low,0,0.53,5,140,0
low,1,0.52,8,208,0
high,0,0.86,3,213,0
low,0,0.54,2,152,0
medium,0,0.81,3,274,0
medium,0,0.91,3,241,0
medium,0,0.6,2,165,0
high,0,0.54,2,275,0
medium,0,0.4,3,161,1
medium,1,0.75,2,229,0
medium,0,0.85,5,273,1
medium,0,0.4,5,264,0
medium,0,0.7,3,254,0
low,0,0.36,3,158,1
low,0,0.99,6,104,0
low,0,0.37,3,141,1
medium,0,0.89,2,209,0
low,1,0.61,3,165,0
low,0,0.61,8,184,0
medium,0,0.69,3,180,0
low,0,0.16,3,218,0
medium,0,0.75,2,138,0
high,0,0.77,6,265,0
low,0,0.73,3,262,0
medium,1,0.55,3,271,0
medium,0,0.72,4,135,0
low,0,0.84,4,242,0
low,0,0.98,3,138,0
medium,0,0.55,4,249,0
low,0,0.44,3,145,1
low,0,0.58,2,131,0
low,0,0.44,3,135,1
medium,0,0.1,4,269,1
low,0,0.25,3,182,0
low,0,0.71,2,186,0
low,0,0.64,5,115,0
medium,0,0.19,3,102,0
low,0,0.52,3,271,0
low,0,0.79,5,226,1
medium,0,0.8,2,220,0
low,0,0.98,2,226,0
low,1,0.71,2,273,0
low,0,0.72,3,217,0
medium,0,0.13,5,203,0
low,0,0.71,3,136,0
low,0,0.34,2,154,0
high,0,0.37,3,177,0
low,0,0.76,4,265,0
low,0,0.65,3,235,0
low,0,0.59,2,226,0
low,0,0.51,10,182,0
medium,0,0.81,8,217,0
medium,0,0.56,3,176,0
medium,1,0.65,3,261,0
medium,1,0.95,10,199,0
medium,0,0.58,4,192,0
medium,0,0.68,3,255,0
low,0,0.75,6,216,1
low,0,0.65,3,192,0
low,1,0.49,3,259,0
high,0,0.74,3,197,0
low,0,0.75,4,171,0
low,0,0.78,3,173,0
high,0,0.92,2,160,0
low,0,0.89,3,153,0
medium,0,0.71,2,149,0
medium,1,0.53,2,239,0
medium,0,0.5,3,161,0
high,0,0.72,3,250,0
low,1,0.18,4,176,0
low,0,0.42,3,155,1
low,0,0.56,2,226,0
low,0,0.74,3,241,0
medium,0,0.39,3,169,0
medium,0,0.64,2,166,0
medium,0,0.98,4,257,0
low,0,0.09,4,308,1
medium,1,0.15,4,209,0
medium,0,0.39,5,228,0
medium,0,0.45,3,142,1
medium,0,0.96,2,186,0
medium,0,0.13,5,206,0
low,0,0.73,3,142,0
medium,0,0.45,4,176,0
medium,0,0.51,2,256,0
medium,0,0.15,5,140,0
high,0,0.72,2,243,0
medium,0,0.39,3,136,1
medium,0,0.76,2,176,0
low,0,0.83,2,231,0
low,0,0.66,2,204,0
low,1,0.6,2,216,0
high,0,0.54,3,249,0
medium,0,0.39,3,146,1
medium,0,0.25,5,228,0
medium,0,0.17,4,273,0
high,0,0.64,3,281,0
low,1,0.97,2,182,0
low,0,0.77,3,134,0
low,0,0.62,3,180,0
medium,0,0.89,5,274,1
low,1,0.99,3,246,0
medium,0,0.89,4,256,0
low,1,0.86,2,211,0
low,0,0.75,5,260,1
low,0,0.74,3,198,0
medium,0,0.77,3,254,0
medium,1,0.61,3,161,0
low,1,0.81,4,215,0
high,0,0.97,3,135,0
medium,0,0.95,4,184,0
low,0,0.4,3,142,1
low,0,0.48,2,146,0
medium,0,0.7,2,157,0
medium,0,0.61,2,187,0
medium,0,1.0,4,160,0
low,1,0.41,10,142,0
low,0,0.93,2,188,0
low,0,0.74,4,250,0
high,0,0.85,2,187,0
medium,0,0.65,3,243,0
high,1,0.94,3,231,0
low,0,0.52,3,232,0
low,0,0.53,6,264,0
high,0,0.63,4,236,0
high,0,0.17,5,193,0
medium,0,0.18,4,209,0
low,0,0.1,4,307,1
high,0,0.28,4,127,0
medium,0,0.57,4,248,0
medium,0,0.91,5,250,1
medium,0,0.63,2,244,0
medium,0,0.51,3,151,0
medium,0,0.67,3,242,0
medium,0,0.33,3,97,0
low,0,0.93,3,233,0
medium,0,0.39,3,127,1
low,0,0.93,2,224,0
high,0,0.51,3,136,0
low,1,0.61,3,160,0
low,0,0.76,5,238,1
high,0,0.69,4,182,0
medium,1,0.1,4,264,1
low,0,0.91,6,274,1
medium,1,0.61,3,140,0
high,1,0.44,7,141,0
medium,0,0.74,2,221,0
low,0,0.88,3,257,0
low,1,0.75,3,281,0
medium,0,0.95,2,219,0
medium,1,0.19,4,188,0
low,0,0.81,3,249,0
medium,1,0.43,3,149,1
low,0,0.09,4,244,1
medium,0,0.91,3,259,0
high,1,0.45,6,97,0
low,0,0.43,3,153,1
low,0,0.62,3,271,0
medium,0,0.65,4,218,0
low,0,0.79,2,172,0
low,0,0.85,4,216,0
high,0,0.66,3,204,0
low,0,0.17,5,250,0
low,0,0.63,2,246,0
low,1,0.55,4,251,0
medium,0,0.95,3,263,0
high,0,0.77,4,181,0
low,1,0.49,3,256,0
medium,0,0.72,2,187,0
medium,0,0.9,6,137,0
medium,1,0.78,2,169,0
low,0,0.69,2,272,0
medium,0,0.54,3,206,0
medium,0,0.48,5,245,0
low,0,0.57,2,230,0
medium,0,0.85,3,260,0
medium,1,0.45,2,143,0
low,0,0.71,4,207,0
medium,1,0.49,2,254,0
medium,1,0.88,3,266,0
low,0,0.88,2,221,0
low,0,0.81,3,226,0
medium,1,0.16,7,149,0
medium,0,0.43,3,146,1
low,0,0.1,4,306,1
low,0,0.98,3,232,0
medium,0,0.62,3,259,0
low,0,0.21,3,153,0
low,1,0.94,2,151,0
low,0,0.22,5,159,0
medium,0,0.78,2,181,0
medium,0,0.8,2,261,0
low,0,0.4,3,139,1
low,0,0.11,4,301,1
low,0,0.8,4,221,0
low,0,0.23,3,200,0
low,0,0.68,2,225,0
medium,0,0.44,3,127,1
medium,0,0.59,4,168,0
low,0,0.81,6,265,1
medium,0,0.69,4,198,0
low,1,0.95,2,207,0
low,0,0.9,3,217,0
high,0,0.96,3,173,0
low,0,0.96,3,170,0
low,0,0.74,3,176,0
low,0,0.17,4,179,0
medium,0,0.57,10,224,0
low,0,0.37,3,160,1
medium,0,0.52,2,210,0
low,0,0.83,3,195,0
medium,0,0.13,2,156,0
low,0,0.14,3,114,0
high,0,0.83,3,267,0
low,0,0.43,4,149,1
medium,0,0.71,3,198,0
low,0,0.98,6,285,0
low,0,0.84,3,138,0
low,0,0.8,5,273,1
low,0,0.11,4,272,1
low,0,0.64,4,239,0
low,0,0.98,2,169,0
low,0,1.0,3,269,0
medium,0,0.68,4,146,0
high,0,0.6,2,180,0
low,0,0.77,3,268,0
low,0,0.81,2,258,0
low,0,0.1,4,296,1
low,0,0.5,2,266,0
low,0,0.91,5,257,1
high,0,0.59,2,273,0
medium,0,0.61,4,244,0
low,0,0.58,4,258,0
medium,0,0.91,7,195,0
medium,0,0.93,3,201,0
medium,0,0.12,4,230,0
medium,0,0.44,6,237,0
medium,0,0.1,5,301,1
medium,0,0.38,6,215,0
low,0,0.22,6,206,0
high,0,0.11,4,254,1
medium,0,0.73,6,251,0
medium,0,0.85,5,275,1
low,0,0.92,3,183,0
low,0,0.53,3,150,0
low,0,0.98,3,178,0
low,1,0.78,3,270,0
medium,0,0.63,2,155,0
high,0,0.67,2,217,0
medium,0,0.45,3,145,1
low,1,0.49,3,258,0
low,0,0.6,2,185,0
low,0,0.11,4,254,1
medium,0,0.93,2,207,0
low,0,0.98,3,209,0
medium,1,0.48,2,242,0
high,0,0.49,5,205,0
medium,1,0.96,2,158,0
medium,1,0.71,3,273,0
low,0,0.71,3,114,0
low,0,0.82,3,232,0
medium,1,0.62,6,142,0
low,0,0.68,5,254,0
medium,0,0.81,6,233,1
medium,0,0.98,3,187,0
low,0,0.73,5,257,1
medium,0,0.88,2,133,0
medium,0,0.56,3,152,0
medium,0,0.84,3,245,0
medium,0,0.82,6,276,1
medium,0,0.8,5,244,1
high,0,0.54,2,232,0
low,0,0.41,3,151,1
medium,0,0.91,2,266,0
medium,0,0.73,2,166,0
medium,0,0.67,2,171,0
medium,0,0.87,3,154,0
low,0,0.44,3,151,1
low,0,0.65,2,233,0
medium,0,0.57,3,191,0
medium,0,0.69,2,220,0
medium,0,0.91,3,153,0
medium,0,0.15,5,198,0
low,0,0.68,3,272,0
high,0,0.8,3,251,0
medium,0,0.88,4,220,0
medium,0,0.86,2,162,0
low,0,0.1,4,263,1
low,0,0.97,2,187,0
low,0,0.24,3,194,0
low,0,0.27,4,255,0
high,1,0.75,2,222,0
low,0,0.94,3,256,0
low,0,0.09,4,296,1
medium,0,0.76,3,190,0
medium,0,0.85,3,242,0
medium,1,0.87,2,234,0
low,0,0.44,3,138,1
medium,0,0.16,3,163,0
medium,0,0.2,5,209,0
low,0,0.76,3,258,0
low,0,0.1,4,280,1
medium,0,0.31,3,263,0
low,0,0.92,3,149,0
medium,0,0.8,6,262,1
low,0,0.49,4,264,0
medium,0,0.56,2,194,0
low,1,0.82,3,198,0
low,1,0.27,6,277,0
low,0,0.44,2,219,0
medium,0,0.43,3,143,1
low,0,0.22,3,185,0
medium,0,0.94,6,261,0
medium,0,0.37,3,134,1
low,0,0.63,3,245,0
low,0,0.11,4,247,1
low,1,0.74,3,216,0
low,0,0.84,4,166,0
low,0,0.91,3,223,0
medium,0,0.72,3,170,0
low,0,0.89,6,165,0
medium,0,0.1,4,279,1
medium,0,0.77,5,255,1
low,0,0.85,2,264,0
medium,0,0.64,2,269,0
low,0,0.73,2,165,0
high,0,0.57,5,154,0
high,0,0.98,3,254,0
low,0,0.11,5,301,1
medium,0,0.89,3,269,0
low,0,0.63,2,250,0
medium,1,0.9,6,222,0
high,0,0.56,2,134,0
low,0,0.1,4,299,1
low,0,0.51,4,268,0
high,0,0.44,8,134,0
low,0,0.63,4,269,0
medium,0,0.93,3,215,0
medium,1,0.9,2,160,0
low,0,0.95,2,238,0
low,0,0.43,2,186,0
medium,0,0.7,3,248,0
medium,0,0.54,4,195,0
high,1,0.71,3,254,0
low,1,0.88,4,177,0
low,0,0.68,3,196,0
medium,0,0.22,2,244,0
low,0,0.21,6,235,0
low,0,0.67,3,185,0
low,0,0.7,3,216,0
high,0,0.59,2,162,0
low,0,0.79,2,231,0
medium,0,0.55,2,146,0
low,0,0.11,4,305,1
low,0,0.65,2,220,0
medium,0,0.28,2,260,0
low,0,0.57,2,252,0
medium,0,0.74,3,200,0
low,0,0.1,4,285,1
medium,0,0.52,3,98,0
medium,1,0.59,2,203,0
medium,1,0.77,2,247,0
low,0,0.79,3,160,0
medium,0,0.54,2,243,0
low,0,0.2,3,244,0
medium,0,0.84,3,134,0
low,0,0.74,5,223,1
low,0,0.37,3,157,1
low,0,0.55,3,229,0
low,0,0.37,3,158,1
medium,0,0.62,3,155,0
medium,0,0.81,3,149,0
low,0,0.56,2,139,0
low,0,0.76,2,239,0
low,0,0.19,3,192,1
low,0,0.74,2,260,0
low,0,0.37,3,163,0
medium,0,0.92,2,206,0
low,0,0.68,3,232,0
low,0,0.95,3,153,0
medium,0,0.99,2,139,0
high,0,0.5,6,224,0
medium,0,0.72,3,244,0
medium,0,0.44,3,154,1
medium,0,0.8,2,171,0
medium,0,0.63,3,163,1
low,1,0.59,3,265,0
high,0,0.56,2,145,0
low,0,0.7,4,285,0
medium,0,0.97,3,245,0
low,0,0.81,4,153,0
low,0,0.58,2,253,0
medium,1,0.99,8,209,0
low,0,0.88,3,234,0
low,0,0.92,2,179,0
medium,1,0.99,2,229,0
low,0,0.34,3,248,0
medium,0,0.78,3,245,0
medium,0,0.9,3,163,0
low,0,0.91,3,176,0
medium,1,0.91,4,273,0
medium,0,0.76,3,136,0
low,0,0.83,5,219,1
medium,0,0.86,6,269,1
medium,0,0.83,5,259,0
medium,1,0.8,3,141,0
low,0,0.2,5,190,0
high,0,0.61,2,239,0
low,0,0.52,2,185,0
low,0,0.57,2,235,0
medium,0,0.92,3,264,0
low,0,0.43,4,151,0
medium,0,0.89,3,223,0
medium,0,0.72,2,149,0
low,1,0.83,3,223,0
low,0,0.88,4,123,0
low,0,0.84,2,243,0
medium,0,0.43,3,135,1
medium,0,0.83,3,154,0
medium,0,0.41,3,154,1
low,0,0.74,2,230,0
low,0,0.97,3,167,0
high,0,0.58,2,209,0
high,0,0.75,3,242,0
medium,0,0.52,2,160,0
high,0,0.19,4,198,0
medium,0,0.64,3,179,0
medium,0,0.91,3,178,0
low,0,0.67,4,215,0
low,1,0.91,4,223,0
low,1,0.21,3,247,0
low,1,0.4,3,144,1
medium,0,0.76,2,147,0
low,0,0.77,3,190,0
low,1,0.86,2,134,0
medium,0,0.78,3,137,0
medium,0,0.88,3,227,0
low,0,0.75,3,144,0
medium,0,0.67,3,246,0
low,0,0.99,2,262,0
low,0,0.63,6,126,0
medium,0,0.1,4,247,1
medium,0,0.37,3,128,1
medium,0,0.56,3,184,0
medium,0,0.79,3,169,0
low,0,0.27,2,185,0
high,0,0.65,3,154,0
high,0,0.81,2,177,0
medium,0,0.62,3,124,0
medium,0,0.94,4,118,0
low,0,0.82,6,203,0
low,0,0.83,3,171,0
low,0,0.1,4,258,1
medium,1,0.77,3,250,0
medium,0,0.91,3,199,0
low,1,0.83,2,167,0
medium,0,0.7,3,239,0
low,0,0.72,2,140,0
low,0,0.81,5,253,1
low,0,0.5,2,271,0
low,0,0.72,2,248,0
medium,0,0.93,3,135,0
low,0,0.84,5,227,1
medium,0,0.97,3,219,0
low,0,0.43,2,119,0
medium,0,0.83,5,243,1
low,0,0.09,4,304,1
medium,0,0.84,3,149,0
medium,0,0.82,2,239,0
low,0,0.63,2,172,0
low,0,0.51,3,269,0
low,0,0.58,3,200,0
medium,0,0.1,4,272,1
medium,0,0.64,3,269,0
medium,0,0.81,3,242,0
low,0,0.73,6,253,1
low,0,0.66,2,188,0
low,0,0.09,4,255,1
low,0,0.73,5,266,0
low,0,0.61,4,264,1
low,0,1.0,3,247,0
medium,0,0.36,6,197,0
medium,0,0.4,3,143,1
low,0,0.93,4,136,0
high,0,0.86,2,193,0
low,0,0.85,5,104,0
medium,0,0.4,3,115,0
high,0,0.81,3,165,0
medium,0,0.15,3,230,0
low,0,0.49,3,133,0
high,1,0.64,2,185,0
low,0,0.77,2,98,0
low,0,0.4,3,146,1
medium,0,0.68,4,185,0
medium,0,0.44,3,161,0
low,1,0.49,2,255,0
low,0,0.87,2,270,0
medium,0,0.1,4,264,1
medium,0,0.4,6,120,0
low,0,0.46,3,165,0
low,0,0.76,3,204,0
low,0,0.92,3,218,0
low,0,1.0,3,253,0
low,0,0.69,3,164,0
medium,0,0.1,4,269,1
medium,0,0.48,3,190,0
low,0,0.44,3,149,1
high,0,0.78,6,111,0
low,0,0.72,2,235,0
medium,0,0.73,5,247,1
low,0,0.31,2,97,0
low,0,0.88,5,225,1
low,0,0.11,4,281,1
medium,0,0.87,3,264,0
medium,0,0.49,2,250,0
medium,0,0.76,2,164,0
medium,1,0.61,2,185,0
low,0,0.21,2,239,0
medium,0,0.58,10,220,0
medium,1,0.21,4,219,0
medium,0,0.65,2,241,0
low,0,0.89,2,147,0
medium,0,0.58,3,272,0
medium,1,0.9,3,185,0
medium,0,0.86,3,263,0
medium,0,0.55,3,196,0
high,0,0.39,3,156,1
low,0,0.4,3,144,1
medium,0,0.65,3,214,0
medium,0,0.43,3,160,1
low,0,0.71,4,248,0
low,0,0.52,3,170,0
medium,0,0.56,2,296,1
medium,0,0.98,2,200,0
medium,0,0.65,4,184,0
low,0,0.98,2,214,0
low,0,0.77,4,142,0
medium,0,0.84,3,259,0
low,1,0.61,4,112,0
medium,0,0.52,4,247,0
medium,0,0.59,2,260,0
medium,0,0.68,2,168,0
medium,0,0.97,2,261,0
high,0,0.98,3,264,0
medium,0,0.75,4,149,0
medium,0,0.48,4,143,0
low,0,0.95,2,260,0
low,1,0.86,2,229,0
low,0,0.76,2,140,0
medium,0,0.1,4,306,1
low,0,0.58,10,195,0
medium,0,0.7,2,180,0
low,0,0.22,2,193,0
low,0,0.36,3,143,1
medium,0,0.78,5,241,1
medium,0,0.38,3,132,1
medium,0,0.89,4,156,0
medium,0,0.87,3,251,0
medium,1,0.5,3,150,0
high,0,0.64,3,263,0
medium,0,0.54,3,271,0
medium,0,0.67,4,237,0
low,0,0.51,2,198,0
medium,0,0.19,5,233,0
medium,0,0.32,3,167,0
high,0,0.4,6,207,0
medium,1,0.99,4,189,0
low,1,1.0,2,151,0
low,0,0.78,2,202,0
low,0,0.62,2,149,0
low,0,1.0,3,270,0
low,0,0.73,2,178,0
medium,0,0.68,2,147,0
medium,0,0.56,2,149,0
medium,0,0.5,2,149,0
medium,0,0.76,3,229,0
low,0,0.66,3,133,0
medium,0,0.98,3,182,0
medium,0,0.5,2,200,0
medium,0,0.84,3,199,0
high,0,0.87,3,244,0
low,1,0.16,4,144,0
low,0,0.93,4,256,0
low,0,0.79,2,242,0
medium,0,0.93,3,227,0
medium,0,0.95,4,132,0
medium,0,0.89,4,269,0
high,0,0.96,3,272,0
medium,0,0.11,4,244,1
medium,0,0.49,3,141,0
low,1,0.56,3,188,0
low,0,0.89,5,264,1
low,0,0.74,3,170,0
low,0,0.5,2,188,0
low,0,0.84,3,273,0
low,1,0.7,3,263,0
low,0,0.96,4,215,0
low,0,0.33,6,249,0
low,0,0.64,3,266,0
medium,0,0.48,2,261,0
low,0,0.74,2,258,0
low,0,0.5,3,222,0
medium,0,0.73,2,135,0
low,0,0.4,3,144,1
low,1,0.96,2,232,0
low,0,0.24,5,273,0
medium,0,0.69,4,236,0
low,0,0.38,3,132,1
low,0,0.77,3,146,0
low,0,0.83,3,143,0
low,0,0.94,3,269,0
low,0,0.78,2,238,0
medium,0,0.58,5,232,0
low,1,0.71,2,208,0
low,0,0.84,2,179,0
low,0,0.66,2,210,0
low,0,0.79,4,139,0
medium,0,0.86,3,188,0
high,0,0.84,2,140,0
low,0,0.4,3,148,1
low,0,0.1,4,268,1
medium,0,0.8,4,185,0
low,0,0.86,5,270,1
low,0,1.0,3,150,0
medium,0,0.87,3,251,0
low,0,0.4,3,128,1
medium,0,0.6,3,274,0
low,0,0.11,4,271,1
low,0,0.41,3,161,1
low,0,0.36,3,144,1
low,0,0.56,2,203,0
high,0,0.82,2,207,0
low,1,0.85,3,153,0
low,0,0.79,3,184,0
high,1,0.63,3,242,0
low,0,0.41,3,155,1
medium,0,0.83,2,179,0
high,0,0.58,4,181,0
medium,0,0.76,6,217,1
low,0,0.91,3,235,0
medium,0,0.88,2,155,0
high,0,0.53,4,257,0
low,0,0.44,4,271,1
low,0,0.65,3,151,0
low,0,0.83,3,243,0
medium,0,0.6,3,201,0
medium,0,0.54,2,266,0
medium,1,0.7,2,141,0
low,0,0.87,3,197,0
medium,1,0.7,6,234,0
low,0,0.5,2,254,0
low,0,0.72,3,207,0
high,0,0.68,4,187,0
medium,0,0.83,4,224,0
medium,1,0.67,6,175,0
medium,0,0.43,2,124,0
low,0,0.75,2,184,0
medium,0,0.82,2,285,0
low,0,0.83,3,168,0
medium,0,0.87,2,256,0
medium,0,0.19,6,206,0
high,0,0.9,5,266,1
medium,0,0.45,3,134,1
medium,0,0.9,3,195,0
low,0,0.11,4,243,1
low,1,0.4,3,141,1
medium,0,0.2,5,250,0
low,0,0.1,4,284,1
high,0,0.97,2,139,0
high,0,0.85,3,150,0
low,0,1.0,3,168,0
medium,0,0.45,3,151,1
low,1,0.62,2,180,0
medium,0,0.73,3,218,0
low,0,0.51,3,212,0
low,0,0.23,4,236,0
medium,0,0.53,2,161,0
low,0,0.51,2,214,0
low,0,0.69,4,185,0
medium,1,0.41,3,193,0
low,0,0.97,4,228,0
low,0,0.49,3,270,0
low,0,0.68,2,148,0
low,0,0.78,3,180,0
low,0,0.13,5,189,0
high,1,0.15,8,259,0
high,1,0.69,2,203,0
medium,0,0.44,3,157,1
medium,0,0.6,2,181,0
low,1,0.63,2,176,0
medium,0,0.6,3,242,0
medium,1,0.31,3,150,0
low,0,0.11,4,253,1
high,0,0.68,3,209,0
medium,1,0.78,3,191,0
high,0,0.53,3,191,0
medium,0,0.55,3,136,0
low,0,0.78,3,261,0
medium,0,0.49,2,250,0
low,0,0.44,3,149,1
low,0,0.85,2,200,0
medium,0,0.67,3,196,0
low,1,0.97,3,235,0
medium,0,0.88,5,248,1
low,0,0.85,2,174,0
low,0,0.5,3,179,0
medium,0,0.95,3,162,0
low,0,0.76,4,133,0
medium,0,0.91,4,132,0
low,0,0.24,4,174,0
high,1,0.9,10,259,0
high,0,0.89,5,151,0
high,0,0.69,3,253,0
medium,0,0.95,3,151,0
low,1,0.59,3,188,0
low,0,0.45,3,140,1
medium,0,0.56,3,255,0
low,0,0.09,4,286,1
low,0,0.5,2,253,0
low,0,0.2,3,188,0
low,0,0.45,2,169,0
low,0,0.82,3,183,0
medium,0,0.42,3,145,1
high,0,0.97,10,164,0
medium,0,0.36,4,186,0
medium,0,0.32,4,112,0
low,0,0.59,3,186,0
medium,0,0.41,3,156,1
low,0,0.17,5,197,0
low,0,0.55,2,204,0
low,0,0.82,3,198,0
high,1,0.21,2,175,0
low,0,0.6,2,250,1
medium,0,0.49,2,238,0
low,1,0.63,5,286,0
low,1,0.65,3,237,0
low,1,0.58,2,272,0
medium,0,0.61,2,134,0
low,0,0.58,2,186,0
medium,0,0.8,2,199,0
medium,0,0.43,3,149,1
low,1,0.75,8,146,0
medium,0,0.59,3,275,0
low,0,0.82,3,259,0
low,0,0.38,3,160,1
medium,0,0.6,3,172,0
low,0,0.99,2,206,0
medium,0,0.79,5,232,1
low,0,0.8,3,209,0
medium,0,0.98,4,153,0
low,0,0.6,2,187,0
medium,0,0.54,2,255,0
low,0,0.74,4,236,0
low,0,0.99,3,235,0
low,1,0.58,3,222,0
medium,1,0.84,5,245,1
medium,0,0.8,3,191,0
medium,0,0.56,4,204,0
medium,0,0.72,5,257,1
low,1,0.69,4,183,0
low,1,0.92,10,190,0
medium,0,0.61,2,214,0
medium,0,1.0,3,187,0
medium,0,0.86,2,212,0
low,0,0.66,2,192,0
low,1,0.72,2,156,0
low,0,0.94,3,240,0
low,0,0.91,4,219,0
medium,0,0.29,6,164,0
low,0,0.89,2,144,0
low,1,0.8,3,172,0
high,0,0.55,2,194,0
low,0,0.1,4,269,1
low,0,0.52,3,212,0
high,0,0.21,3,239,0
medium,0,0.81,3,133,0
medium,0,0.54,3,264,0
high,0,0.74,5,105,0
low,0,0.8,3,266,0
medium,0,0.49,3,196,0
low,1,0.77,4,258,0
low,0,0.7,5,166,0
medium,0,0.9,2,219,0
low,1,0.87,3,172,0
medium,0,0.67,3,194,0
high,0,0.9,2,162,0
high,0,0.4,3,143,1
medium,0,0.66,3,186,0
low,0,0.38,3,134,1
low,0,0.55,3,237,0
low,0,0.76,3,253,0
low,0,0.79,6,254,1
medium,0,0.64,4,159,0
medium,0,0.7,3,224,0
medium,0,0.91,5,241,1
medium,1,0.84,3,221,0
high,0,0.72,3,166,0
low,0,0.91,3,158,0
medium,1,0.65,3,205,0
medium,0,0.57,3,216,0
low,0,0.52,3,184,0
low,0,0.86,3,233,0
medium,0,0.77,2,218,0
low,0,0.67,3,189,0
low,0,0.92,3,180,0
low,0,0.11,4,257,1
low,0,0.85,5,234,1
medium,0,0.68,3,153,0
low,0,0.6,3,221,0
medium,0,0.72,4,266,0
medium,0,0.7,3,184,0
high,0,0.86,3,192,0
medium,0,0.37,2,146,0
medium,0,0.24,3,209,0
medium,0,0.68,4,156,0
low,1,0.82,2,115,0
low,0,0.74,3,145,0
high,0,0.95,5,180,0
medium,0,0.88,3,208,0
low,0,0.38,3,176,0
low,1,0.82,4,233,1
low,0,0.38,3,134,1
low,0,0.73,3,267,0
medium,0,0.63,3,172,0
low,0,0.55,2,197,0
low,0,0.44,3,147,1
low,0,0.96,3,231,0
low,0,0.1,4,272,1
low,0,0.7,3,158,0
medium,0,0.92,3,133,0
medium,0,0.55,2,201,0
low,0,0.8,3,196,0
low,0,0.75,3,169,0
medium,0,0.55,4,125,0
medium,1,0.74,4,253,0
low,0,0.54,3,258,0
medium,0,0.36,3,165,0
low,0,0.59,4,162,0
low,0,0.64,2,153,0
medium,0,0.74,3,156,0
medium,0,0.38,5,145,0
low,0,0.81,3,100,0
low,0,0.57,2,164,0
low,0,0.81,3,216,0
low,0,0.53,2,275,0
low,1,0.41,6,257,0
medium,0,0.55,2,266,0
low,0,0.43,3,135,1
low,0,0.84,5,256,0
low,0,0.17,6,239,0
low,0,0.3,2,178,0
medium,0,0.82,3,235,0
medium,0,0.68,2,146,0
high,1,0.73,3,155,0
low,0,0.89,3,113,0
medium,1,0.24,5,199,0
low,1,0.93,2,257,0
low,0,0.99,3,212,0
low,0,0.49,3,244,1
low,0,0.45,3,160,1
low,0,0.76,2,192,0
low,0,0.39,3,135,1
low,0,0.38,3,156,1
low,0,0.54,3,256,0
low,0,0.53,3,185,0
medium,0,0.18,5,154,0
low,0,0.93,3,175,0
medium,0,0.13,5,149,0
medium,0,0.8,2,159,0
medium,0,0.64,6,143,0
medium,0,0.81,3,143,0
high,0,0.35,3,107,0
medium,0,0.37,3,155,0
low,0,0.36,3,132,1
high,0,0.13,6,264,0
low,0,0.51,2,197,0
high,0,0.65,3,200,0
medium,0,0.66,3,244,0
medium,0,0.76,2,205,0
medium,0,0.52,3,193,0
medium,0,0.98,3,178,0
low,0,0.69,2,174,0
medium,0,0.98,3,203,0
low,0,0.45,3,155,1
medium,0,0.11,4,260,1
medium,0,0.96,3,168,0
low,0,0.97,3,159,0
medium,0,1.0,4,171,0
medium,0,0.11,4,282,1
medium,0,1.0,2,173,0
medium,0,0.51,5,176,0
high,0,0.82,2,166,0
low,1,0.55,4,272,0
low,0,0.51,2,267,0
low,0,0.64,2,252,1
low,0,0.84,3,266,0
low,1,0.75,3,181,0
high,0,0.61,3,151,0
medium,0,0.93,3,212,0
medium,0,0.36,2,252,0
medium,1,0.15,6,146,0
medium,0,0.77,3,216,0
medium,0,0.95,2,242,0
low,0,0.69,4,257,0
low,0,0.9,5,221,1
medium,0,0.74,2,142,0
high,0,0.79,3,176,0
medium,0,0.61,3,142,0
high,0,0.7,2,229,0
medium,0,0.85,2,168,1
high,1,0.72,2,265,0
medium,0,0.86,2,180,0
medium,0,0.99,2,212,0
high,0,0.75,3,188,0
medium,0,0.24,5,268,0
low,1,0.78,2,142,0
medium,0,0.9,5,273,0
medium,0,0.74,3,140,0
medium,0,0.48,10,213,0
medium,0,0.14,5,259,0
medium,0,0.36,3,159,1
medium,0,0.97,4,241,0
